002008001,體育[男女合班]—健康體適能,二12          ,45,45,2,全校人數已額滿                                    ,一般處理
002008011,體育[男女合班]—健康體適能,二34          ,45,45,1,全校人數已額滿                                    ,一般處理
002008031,體育[男女合班]—健康體適能,四34          ,45,45,2,全校人數已額滿                                    ,一般處理
002012011,體育[男]—羽球初級,五12          ,45,45,21,NULL,一般處理
002012021,體育[男]—羽球初級                                          ,五34          ,45,45,2,全校人數已額滿                                    ,一般處理
002015011,體育[男]—桌球初級                                          ,二56          ,45,45,4,全校人數已額滿                                    ,一般處理
002021011,體育[男]—籃球初級                                          ,四56          ,45,13,14,衝堂科目無法退選                                  ,一般處理
002021021,體育[男]—籃球初級                                          ,四78          ,45,31,12,衝堂科目無法退選                                  ,一般處理
002021031,體育[男]—籃球初級                                          ,五78          ,45,29,16,衝堂科目無法退選                                  ,一般處理
002035001,體育[男]—重量訓練,四34          ,45,45,1,全校人數已額滿                                    ,一般處理
002051001,體育[男]—羽球中級                                          ,四12          ,45,20,13,衝堂科目無法退選                                  ,一般處理
002062011,體育[女]—羽球初級                                          ,二12          ,45,43,15,衝堂科目無法退選                                  ,一般處理
002062021,體育[女]—羽球初級                                          ,二34          ,45,45,4,全校人數已額滿                                    ,一般處理
002062031,體育[女]—羽球初級                                          ,二78          ,45,45,3,全校人數已額滿                                    ,一般處理
002062051,體育[女]—羽球初級                                          ,三34          ,45,45,2,全校人數已額滿                                    ,一般處理
002065011,體育[女]—桌球初級                                          ,三56          ,45,45,1,全校人數已額滿                                    ,一般處理
002065021,體育[女]—桌球初級                                          ,四12          ,45,45,6,全校人數已額滿                                    ,一般處理
002071011,體育[女]—籃球初級                                          ,三56          ,45,33,18,衝堂科目無法退選                                  ,一般處理
002071021,體育[女]—籃球初級                                          ,三78          ,45,36,24,衝堂科目無法退選                                  ,一般處理
002080001,體育[女]—有氧運動                                          ,二56          ,45,45,2,全校人數已額滿                                    ,一般處理
002081021,體育[女]—有氧耐力                                          ,三56          ,45,45,2,全校人數已額滿                                    ,一般處理
002081031,體育[女]—有氧耐力,二34          ,45,45,4,全校人數已額滿                                    ,一般處理
002097011,體育[女]—排球初級                                          ,三12          ,45,15,14,衝堂科目無法退選                                  ,一般處理
002097021,體育[女]—排球初級                                          ,一56          ,45,45,7,全校人數已額滿                                    ,一般處理
002097031,體育[女]—排球初級                                          ,三34          ,45,28,16,衝堂科目無法退選                                  ,一般處理
002112001,體育[女]—女體適能,五12          ,45,45,1,全校人數已額滿                                    ,一般處理
002112011,體育[女]—女體適能,四12          ,45,45,1,全校人數已額滿                                    ,一般處理
002112021,體育[女]—女體適能,三12          ,45,45,2,全校人數已額滿                                    ,一般處理
002115001,體育[女]—羽球中級                                          ,三12          ,45,25,13,衝堂科目無法退選                                  ,一般處理
002151001,體育[女]—排球中級                                          ,一78          ,45,37,12,衝堂科目無法退選                                  ,一般處理
002301001,體育[男女合班]—網球初級                                    ,五56          ,45,45,6,全校人數已額滿                                    ,一般處理
002301021,體育[男女合班]—網球初級                                    ,二78          ,45,45,2,全校人數已額滿                                    ,一般處理
002301031,體育[男女合班]—網球初級                                    ,二56          ,45,45,13,全校人數已額滿                                    ,一般處理
002303011,體育[男女合班]—桌球初級                                    ,二78          ,45,45,1,全校人數已額滿                                    ,一般處理
002303021,體育[男女合班]—桌球初級                                    ,一12          ,45,45,2,全校人數已額滿                                    ,一般處理
002303041,體育[男女合班]—桌球初級                                    ,三12          ,45,45,3,全校人數已額滿                                    ,一般處理
002303051,體育[男女合班]—桌球初級                                    ,四56          ,45,45,1,全校人數已額滿                                    ,一般處理
002303061,體育[男女合班]—桌球初級                                    ,一56          ,45,45,2,全校人數已額滿                                    ,一般處理
002303071,體育[男女合班]—桌球初級,二12          ,45,45,3,全校人數已額滿                                    ,一般處理
002305001,體育[男女合班]—慢速壘球初級                                ,四34          ,45,45,14,全校人數已額滿                                    ,一般處理
002305011,體育[男女合班]—慢速壘球初級                                ,二56          ,45,45,9,全校人數已額滿                                    ,一般處理
002305021,體育[男女合班]—慢速壘球初級                                ,三34          ,45,44,19,衝堂科目無法退選                                  ,一般處理
002305031,體育[男女合班]—慢速壘球初級,二34          ,45,45,6,全校人數已額滿                                    ,一般處理
002311001,體育[男女合班]—足球初級                                    ,五56          ,45,45,6,全校人數已額滿                                    ,一般處理
002311011,體育[男女合班]—足球初級                                    ,四78          ,45,45,2,全校人數已額滿                                    ,一般處理
002311021,體育[男女合班]—足球初級,二78          ,45,45,3,全校人數已額滿                                    ,一般處理
002311031,體育[男女合班]—足球初級,三56          ,45,45,3,全校人數已額滿                                    ,一般處理
002311041,體育[男女合班]—足球初級,三78          ,45,45,3,全校人數已額滿                                    ,一般處理
002312001,體育[男]—男體適能                                          ,三34          ,45,45,4,全校人數已額滿                                    ,一般處理
002325001,體育[男女合班]—排球中級                                    ,三78          ,45,43,15,衝堂科目無法退選                                  ,一般處理
002325011,體育[男女合班]—排球中級                                    ,四78          ,45,45,6,全校人數已額滿                                    ,一般處理
002327001,體育[男女合班]—排球初級                                    ,一78          ,45,45,1,全校人數已額滿                                    ,一般處理
002327011,體育[男女合班]—排球初級                                    ,一12          ,45,45,3,全校人數已額滿                                    ,一般處理
002328001,體育[男女合班]—足球中級                                    ,五78          ,45,24,26,NULL,一般處理
002329001,體育[男]—籃球中級                                          ,四56          ,45,36,14,衝堂科目無法退選                                  ,一般處理
002335001,體育[男女合班]—桌球中級                                    ,三34          ,45,45,4,全校人數已額滿                                    ,一般處理
002335021,體育[男女合班]—桌球中級                                    ,四34          ,45,40,21,衝堂科目無法退選                                  ,一般處理
002335031,體育[男女合班]—桌球中級                                    ,三78          ,45,45,2,全校人數已額滿                                    ,一般處理
002337001,體育[男女合班]—羽球中級                                    ,二56          ,45,18,15,衝堂科目無法退選                                  ,一般處理
002337011,體育[男女合班]—羽球中級,四34          ,45,22,13,衝堂科目無法退選                                  ,一般處理
002339001,體育[男女合班]—木球初級                                    ,一56          ,45,45,2,全校人數已額滿                                    ,一般處理
002339021,體育[男女合班]—木球初級,四56          ,45,45,2,全校人數已額滿                                    ,一般處理
002340011,體育[男女合班]—網球中級,三56          ,45,17,10,衝堂科目無法退選                                  ,一般處理
002340021,體育[男女合班]—網球中級,五78          ,45,19,11,衝堂科目無法退選                                  ,一般處理
002341001,體育[男女合班]—彼拉提斯墊上技巧                            ,四34          ,45,45,1,全校人數已額滿                                    ,一般處理
002341011,體育[男女合班]—彼拉提斯墊上技巧                            ,二56          ,45,45,1,全校人數已額滿                                    ,一般處理
002343001,體育[男女合班]—橄欖球初級                                  ,四34          ,45,45,3,全校人數已額滿                                    ,一般處理
002343011,體育[男女合班]—橄欖球初級                                  ,五34          ,45,45,2,全校人數已額滿                                    ,一般處理
002344001,體育[男女合班]—土風舞初級                                  ,五12          ,45,19,14,衝堂科目無法退選                                  ,一般處理
002345001,體育[男女合班]—拳擊                                        ,三12          ,45,39,18,衝堂科目無法退選                                  ,一般處理
002345011,體育[男女合班]—拳擊                                        ,三34          ,45,45,8,全校人數已額滿                                    ,一般處理
002347011,體育[男女合班]—健走                                        ,五56          ,45,45,1,全校人數已額滿                                    ,一般處理
002350001,體育[男女合班]—武術初級                                    ,二12          ,45,45,2,全校人數已額滿                                    ,一般處理
002355001,體育[男女合班]—武術中級                                    ,二34          ,45,45,8,全校人數已額滿                                    ,一般處理
002359001,體育[男女合班]—熱力有氧初級                                ,四56          ,45,45,2,全校人數已額滿                                    ,一般處理
002360021,體育[男女合班]—籃球中級,五78          ,45,45,3,全校人數已額滿                                    ,一般處理
002361011,體育[男女合班]—籃球初級                                    ,三34          ,45,44,18,衝堂科目無法退選                                  ,一般處理
002361021,體育[男女合班]—籃球初級,五56          ,45,45,3,全校人數已額滿                                    ,一般處理
002362001,體育[男女合班]—瑜珈初級                                    ,三12          ,45,45,3,全校人數已額滿                                    ,一般處理
002362011,體育[男女合班]—瑜珈初級                                    ,三34          ,45,45,2,全校人數已額滿                                    ,一般處理
002366001,體育[男女合班]—羽球初級,四12          ,45,37,17,衝堂科目無法退選                                  ,一般處理
002366011,體育[男女合班]—羽球初級,三12          ,45,21,19,衝堂科目無法退選                                  ,一般處理
002366021,體育[男女合班]—羽球初級,三34          ,45,45,23,NULL,一般處理
002366061,體育[男女合班]—羽球初級,二56          ,45,45,1,全校人數已額滿                                    ,一般處理
002366071,體育[男女合班]—羽球初級,四34          ,45,45,1,全校人數已額滿                                    ,一般處理
002367001,體育[男女合班]—慢速壘球中級,四56          ,45,27,8,衝堂科目無法退選                                  ,一般處理
002368001,體育[男女合班]—定向越野,二56          ,45,45,2,全校人數已額滿                                    ,一般處理
002368011,體育[男女合班]—定向越野,二34          ,45,45,1,全校人數已額滿                                    ,一般處理
002369001,體育[男女合班]—現代舞初級,五34          ,45,45,2,全校人數已額滿                                    ,一般處理
002371001,"體育[男女合班]—國際標準舞初級（恰恰、探戈）",一56          ,45,25,15,衝堂科目無法退選                                  ,一般處理
002371011,"體育[男女合班]—國際標準舞初級（恰恰、探戈）",一78          ,45,45,21,NULL,一般處理
002373001,體育[男女合班]—田徑,三56          ,45,45,3,全校人數已額滿                                    ,一般處理
002374001,體育[男女合班]—田徑運動入門,三34          ,45,45,3,全校人數已額滿                                    ,一般處理
002377001,體育[男女合班]—綜合體能訓練,二34          ,45,24,13,衝堂科目無法退選                                  ,一般處理
002377011,體育[男女合班]—綜合體能訓練,二12          ,45,12,20,衝堂科目無法退選                                  ,一般處理
002378001,體育[男女合班]—五人制足球,二56          ,45,18,21,NULL,一般處理
002380001,體育[男女合班]—民俗體育,二34          ,45,45,4,全校人數已額滿                                    ,一般處理
002380011,體育[男女合班]—民俗體育,三34          ,45,45,4,全校人數已額滿                                    ,一般處理
002381001,體育[男女合班]—匹克球初級,二34          ,45,45,1,全校人數已額滿                                    ,一般處理
002381011,體育[男女合班]—匹克球初級,五34          ,45,45,1,全校人數已額滿                                    ,一般處理
002382001,體育[男女合班]—有氧運動,二78          ,45,45,1,全校人數已額滿                                    ,一般處理
002649001,體育[男女合班]—排球實務,五56          ,45,17,9,衝堂科目無法退選                                  ,一般處理
031004011,國文－古典詩選讀,五234         ,35,35,2,全校人數已額滿                                    ,大一優先
031004021,國文－古典詩選讀,一D56         ,35,35,3,全校人數已額滿                                    ,大一優先
031004031,國文－古典詩選讀,二D56         ,35,30,27,NULL,大一優先
031004041,國文－古典詩選讀,一D56         ,35,35,2,全校人數已額滿                                    ,大一優先
031004051,國文－古典詩選讀,一D56         ,35,35,7,全校人數已額滿                                    ,大一優先
031004061,國文－古典詩選讀,五234         ,35,35,8,全校人數已額滿                                    ,大一優先
031004071,國文－古典詩選讀,五234         ,35,35,7,全校人數已額滿                                    ,大一優先
031004081,國文－古典詩選讀,二D56         ,35,35,3,全校人數已額滿                                    ,大一優先
031007021,國文－古典散文選讀,一D56         ,35,35,1,全校人數已額滿                                    ,大一優先
031007031,國文－古典散文選讀,二D56         ,35,35,1,全校人數已額滿                                    ,大一優先
031008011,國文－古典小說選讀,二D56         ,35,35,12,全校人數已額滿                                    ,大一優先
031008021,國文－古典小說選讀,五234         ,35,35,1,全校人數已額滿                                    ,大一優先
031008041,國文－古典小說選讀,二D56         ,35,35,12,全校人數已額滿                                    ,大一優先
031010011,國文－現代詩歌選讀,一D56         ,35,35,2,全校人數已額滿                                    ,大一優先
031012011,國文－現代小說選讀                                          ,一D56         ,35,35,1,全校人數已額滿                                    ,大一優先
031012031,國文－現代小說選讀                                          ,五234         ,35,35,6,全校人數已額滿                                    ,大一優先
031013011,國文－臺灣文學選讀,五234         ,35,35,1,全校人數已額滿                                    ,大一優先
031014011,國文－中國思想名作選讀                                      ,一D56         ,35,33,25,衝堂科目無法退選                                  ,大一優先
031014021,國文－中國思想名作選讀                                      ,五234         ,35,35,3,全校人數已額滿                                    ,大一優先
031015011,國文─中國神話選讀,五234         ,35,35,1,全校人數已額滿                                    ,大一優先
031017011,國文－中國語言文字名作選讀                                  ,二D56         ,35,35,3,全校人數已額滿                                    ,大一優先
031017021,國文－中國語言文字名作選讀                                  ,一D56         ,35,35,6,全校人數已額滿                                    ,大一優先
031022001,進階國文—張愛玲小說,一D56         ,50,43,15,衝堂科目無法退選                                  ,一般處理
031032011,國文,三78E         ,35,35,1,全校人數已額滿                                    ,大一優先
031219011,進階國文─大眾文化中的戲曲身影,二78E         ,50,9,24,NULL,一般處理
032002011,大學英文（二）                                              ,三D56         ,38,38,12,全校人數已額滿                                    ,一般處理
032002021,大學英文（二）                                              ,三D56         ,38,26,8,NULL,一般處理
032002041,大學英文（二）                                              ,三D56         ,38,38,2,全校人數已額滿                                    ,一般處理
032002051,大學英文（二）                                              ,三D56         ,38,21,4,NULL,一般處理
032002061,大學英文（二）                                              ,三D56         ,38,38,3,全校人數已額滿                                    ,一般處理
032002071,大學英文（二）                                              ,三D56         ,38,38,3,全校人數已額滿                                    ,一般處理
032002091,大學英文（二）                                              ,三D56         ,38,37,20,NULL,一般處理
032002101,大學英文（二）                                              ,三D56         ,38,38,1,全校人數已額滿                                    ,一般處理
032002111,大學英文（二）                                              ,四D56         ,38,38,10,全校人數已額滿                                    ,一般處理
032002121,大學英文（二）                                              ,四D56         ,38,38,11,全校人數已額滿                                    ,一般處理
